projects,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces
ant,0.0,0.10759698919592414,0.3957240229490511,0.5732322311106479,0.1159062885326757,0.18981656178106704,0.12937201907790144,0.0834588168138022,0.24970796362292372,0.21703842960942782
camel,0.3910119509091175,0.0,0.3860410384643671,0.5283819570473772,0.23668098327698073,0.23551434309374455,0.21334835368986912,0.19989039853360796,0.2546460897042405,0.23924920690870638
ivy,0.2579694484011985,0.051968301400270235,0.0,0.2861638672375307,0.037732062217762166,0.11995587593956028,0.07091481924197053,0.06836829514225272,0.15768330332945918,0.1573181625840425
jedit,0.14800748415202883,0.045214623496599646,0.11102559168751203,0.0,0.007662835249042145,0.004555808656036446,0.025139193169476933,0.016216216216216214,0.06324399370042583,0.03897742475043642
log4j,0.24741513583744898,0.3313831143986736,0.22035657013489293,0.22615902615902614,0.0,0.35166880691792046,0.29856871485263975,0.32470899762784794,0.37711502871023933,0.45963570946705645
lucene,0.4575071611271021,0.5128156931254811,0.5353552002637219,0.48180420297283444,0.6333985439851191,0.0,0.5668018913545754,0.5625244763156292,0.45396168565194783,0.5550521863189247
poi,0.6520385269401573,0.5654867062725797,0.6459942004510759,0.6148303518077525,0.6257291140403252,0.6250038672152957,0.0,0.4975841926876759,0.5490397959914767,0.5396521843064602
velocity,0.5403399522186975,0.5017913835833792,0.44679845632826654,0.4552376859487803,0.51608768106653,0.4680574291771054,0.4242874659372183,0.0,0.4883048389223399,0.5398681407170058
xalan,0.6159078289838978,0.520845074514133,0.5871743015708777,0.47443767350153326,0.5663947567786606,0.583521671999821,0.5682354766466097,0.5284742357913089,0.0,0.5643624601687723
xerces,0.41907932507698376,0.37228310680661936,0.4261671749199342,0.3961458370098471,0.5211693548387097,0.5301582969432315,0.4568229020061318,0.487754918695535,0.39426150301048096,0.0
