projects,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces
ant,0.0,0.7905890804597702,0.8096590909090909,0.808461978273299,0.45657015590200445,0.49232736572890023,0.5137880986937591,0.4397496087636933,0.5045180722891566,0.631162507608034
camel,0.7801418439716312,0.0,0.8139204545454546,0.7753001715265866,0.48997772828507796,0.48721227621483376,0.5246734397677794,0.46322378716744916,0.5018072289156627,0.6068167985392574
ivy,0.806146572104019,0.788433908045977,0.0,0.8198970840480274,0.4298440979955457,0.4629156010230179,0.49637155297532654,0.4303599374021909,0.48373493975903614,0.6135118685331711
jedit,0.7990543735224587,0.8010057471264368,0.8295454545454546,0.0,0.42316258351893093,0.4424552429667519,0.4927431059506531,0.4303599374021909,0.4671686746987952,0.6049908703590993
log4j,0.3197399527186761,0.34410919540229884,0.2599431818181818,0.2887364208118925,0.0,0.5997442455242967,0.5718432510885341,0.6040688575899843,0.5189759036144578,0.5076080340839927
lucene,0.43380614657210403,0.4637212643678161,0.46732954545454547,0.43853630646083475,0.623608017817372,0.0,0.6364296081277213,0.5915492957746479,0.5674698795180723,0.5514303104077907
poi,0.5916075650118203,0.6454741379310345,0.6363636363636364,0.5511720983419096,0.6347438752783965,0.6355498721227621,0.0,0.5258215962441315,0.5463855421686747,0.5715155203895314
velocity,0.5313238770685579,0.4525862068965517,0.38636363636363635,0.4248141795311607,0.5857461024498887,0.5767263427109974,0.5283018867924528,0.0,0.49457831325301205,0.5696895922093731
xalan,0.5520094562647754,0.6278735632183908,0.5298295454545454,0.42424242424242425,0.6035634743875279,0.5959079283887468,0.6291727140783745,0.5320813771517997,0.0,0.6007303712720633
xerces,0.40070921985815605,0.3545258620689655,0.3821022727272727,0.36363636363636365,0.5968819599109132,0.6253196930946292,0.5500725689404935,0.5790297339593115,0.5120481927710844,0.0
