projects,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces
ant,0.0,0.10122600607636052,0.385595567867036,0.582279441303602,0.10905926713719424,0.18237674940264298,0.1391908194317731,0.09339115622950338,0.2545200156930218,0.21701264955312524
camel,0.3981176059846746,0.0,0.37542131190044076,0.5054551958504739,0.2424419881414245,0.22867756315007426,0.202407723286922,0.17786255901568984,0.25937315027357905,0.24607824607824605
ivy,0.20930205515027947,0.03495525503590626,0.0,0.2766547663517063,0.037732062217762166,0.12399014715454416,0.07091098692478408,0.04785089160369187,0.14735133959565372,0.16252141704198178
jedit,0.1577444682369736,0.03839275312579699,0.11102559168751203,0.0,0.007662835249042145,0.00909090909090909,0.025139193169476933,0.016216216216216214,0.06220846949441995,0.02117934783442549
log4j,0.25738018172600713,0.3380415597384953,0.22781153772787965,0.23689656237452508,0.0,0.3550899051394591,0.301105657289117,0.35405531441690286,0.38040996168026875,0.4584003366656169
lucene,0.46225775566255967,0.5168057714656564,0.5337954939341422,0.4836321625776638,0.6379137412236711,0.0,0.5753530166880616,0.5591066615325375,0.4540774500810025,0.5602004549038386
poi,0.6455076303123018,0.5701652379245525,0.649033413283521,0.617694371838148,0.62124248496994,0.624541120751166,0.0,0.5139445445499287,0.5465370863116005,0.5424315190569483
velocity,0.5503137542022363,0.5029883112843634,0.4588716483801857,0.4479355306048533,0.5124291321412997,0.45426974092885597,0.4029078363725973,0.0,0.4885442538996533,0.5284816317504062
xalan,0.6028985507246376,0.5269732430930045,0.5876433890118736,0.4667295841891967,0.5833520305137985,0.5782491567246961,0.59027171263972,0.5389583236537657,0.0,0.5676572753888698
xerces,0.4142477945486245,0.3491945007005672,0.42960288808664254,0.3927497435050768,0.5264905983821717,0.525200576013166,0.4654503663266772,0.4864065168354628,0.4045227192360128,0.0
