projects,ant,camel,ivy,jedit,log4j,lucene,poi,velocity,xalan,xerces
ant,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
camel,5.0,0.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
ivy,5.0,6.0,0.0,7.0,8.0,9.0,10.0,11.5,12.0,12.5
jedit,5.0,6.0,7.0,0.0,8.0,9.0,10.0,8.0,12.5,12.0
log4j,5.0,6.0,7.0,8.0,0.0,9.0,10.0,11.0,12.0,13.0
lucene,5.0,6.0,7.0,8.0,9.0,0.0,10.0,11.0,12.0,13.0
poi,5.0,6.0,7.0,8.0,9.0,10.0,0.0,11.0,12.0,13.0
velocity,5.0,6.0,7.0,9.0,7.0,10.0,11.0,0.0,12.0,13.0
xalan,5.0,6.0,7.0,8.0,8.5,10.0,11.0,12.0,0.0,13.0
xerces,5.0,7.5,7.0,8.0,8.0,9.5,11.0,12.0,13.0,0.0
